fold,best_params,best_inner_f1,accuracy,f1,recall,precision
1,"{'rf__max_features': 11, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200}",0.7031875950980336,0.8422451012952508,0.7064639723149179,0.7658092175777064,0.6556549667354898
2,"{'rf__max_features': 11, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 500}",0.7084470816269182,0.8383261374958485,0.7064640617462614,0.7848338692390139,0.6423245614035088
3,"{'rf__max_features': 9, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 200}",0.7077987747929595,0.8318166722019262,0.698212157330155,0.7846236271095633,0.6289456731801589
