metric,mean,std,ci95
accuracy,0.8374626369976751,0.0052675666271423255,0.005960812779903625
f1,0.7037133971304447,0.004764213419570834,0.005391215004521455
recall,0.7784222379754279,0.010923701895568776,0.012361332370709563
precision,0.6423084004397192,0.013354654111536298,0.015112213766610455
